Modelo,Accuracy Test,Balanced Accuracy Test,Precision Macro Test,Recall Macro Test,F1 Macro Test,Recall Clase Crítica Test
RandomForest,0.9296,0.8832,0.8616,0.8832,0.8714,0.9429
LightGBM,0.9437,0.89,0.8946,0.89,0.8915,0.9143
GradientBoosting,0.9178,0.8743,0.8545,0.8743,0.864,0.9143
LogisticRegression,0.8498,0.8072,0.7193,0.8072,0.7509,0.7714
